Date,Anomaly Moving Average
2014-10-01,0.002083333333333437
2014-11-01,-0.002083333333333215
2014-12-01,0.006041666666666501
2015-01-01,0.005624999999999991
2015-02-01,0.007500000000000173
2015-03-01,0.005833333333333246
2015-04-01,0.0033333333333334103
2015-05-01,0.005833333333333135
2015-06-01,0.0050000000000001155
2015-07-01,0.001875000000000071
2015-08-01,0.0029166666666666785
2015-09-01,0.006458333333333344
2015-10-01,0.008541666666666559
2015-11-01,0.01041666666666674
2015-12-01,0.011249999999999982
2016-01-01,0.01458333333333317
2016-02-01,0.01708333333333334
2016-03-01,0.016874999999999973
2016-04-01,0.00854166666666667
2016-05-01,0.004375000000000018
2016-06-01,0.0029166666666666785
2016-07-01,0.00520833333333337
2016-08-01,0.0068749999999999645
2016-09-01,0.004375000000000018
